timestamp, system, entity , value (psu)
1625581329.539, lauv-roald, SmartX, 28.110
1625581330.039, lauv-roald, SmartX, 28.116
1625581330.539, lauv-roald, SmartX, 28.138
1625581331.039, lauv-roald, SmartX, 28.158
1625581331.539, lauv-roald, SmartX, 28.171
1625581332.039, lauv-roald, SmartX, 28.161
1625581332.539, lauv-roald, SmartX, 28.157
1625581333.039, lauv-roald, SmartX, 28.143
1625581333.539, lauv-roald, SmartX, 28.135
1625581334.039, lauv-roald, SmartX, 28.134
1625581334.539, lauv-roald, SmartX, 28.138
1625581335.039, lauv-roald, SmartX, 28.145
1625581335.539, lauv-roald, SmartX, 28.144
1625581336.039, lauv-roald, SmartX, 28.140
1625581336.539, lauv-roald, SmartX, 28.143
1625581337.039, lauv-roald, SmartX, 28.148
1625581337.539, lauv-roald, SmartX, 28.171
1625581338.038, lauv-roald, SmartX, 28.192
1625581338.538, lauv-roald, SmartX, 28.190
1625581339.038, lauv-roald, SmartX, 28.163
1625581339.538, lauv-roald, SmartX, 28.153
1625581340.038, lauv-roald, SmartX, 28.150
1625581340.538, lauv-roald, SmartX, 28.150
1625581341.038, lauv-roald, SmartX, 28.141
1625581341.538, lauv-roald, SmartX, 28.128
1625581342.038, lauv-roald, SmartX, 28.130
1625581342.538, lauv-roald, SmartX, 28.137
1625581343.038, lauv-roald, SmartX, 28.143
1625581343.538, lauv-roald, SmartX, 28.155
1625581344.038, lauv-roald, SmartX, 28.188
1625581344.538, lauv-roald, SmartX, 28.199
1625581345.038, lauv-roald, SmartX, 28.220
1625581345.538, lauv-roald, SmartX, 28.220
1625581346.038, lauv-roald, SmartX, 28.226
1625581346.537, lauv-roald, SmartX, 28.240
1625581347.038, lauv-roald, SmartX, 28.243
1625581347.537, lauv-roald, SmartX, 28.237
1625581348.038, lauv-roald, SmartX, 28.227
1625581348.538, lauv-roald, SmartX, 28.218
1625581349.038, lauv-roald, SmartX, 28.210
1625581349.538, lauv-roald, SmartX, 28.206
1625581350.038, lauv-roald, SmartX, 28.201
1625581350.538, lauv-roald, SmartX, 28.251
1625581351.037, lauv-roald, SmartX, 28.274
1625581351.538, lauv-roald, SmartX, 28.275
1625581352.037, lauv-roald, SmartX, 28.269
1625581352.537, lauv-roald, SmartX, 28.273
1625581353.037, lauv-roald, SmartX, 28.269
1625581353.537, lauv-roald, SmartX, 28.279
1625581354.037, lauv-roald, SmartX, 28.282
1625581354.537, lauv-roald, SmartX, 28.294
1625581355.037, lauv-roald, SmartX, 28.284
1625581355.537, lauv-roald, SmartX, 28.268
1625581356.037, lauv-roald, SmartX, 28.248
1625581356.537, lauv-roald, SmartX, 28.248
1625581357.037, lauv-roald, SmartX, 28.236
1625581357.537, lauv-roald, SmartX, 28.231
1625581358.037, lauv-roald, SmartX, 28.217
1625581358.537, lauv-roald, SmartX, 28.217
1625581359.037, lauv-roald, SmartX, 28.232
