timestamp, system, entity , validity (enumerated), location, beam_config, value (m)
1625581180.346, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581180.346, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 55.194
1625581180.346, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.058
1625581180.346, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.665
1625581180.536, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.743
1625581180.536, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581180.536, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581180.536, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.623
1625581180.536, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581180.935, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.370
1625581180.935, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581180.935, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581180.935, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.141
1625581180.935, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581181.134, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 47.393
1625581181.134, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581181.134, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581181.134, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.112
1625581181.134, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581181.336, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.765
1625581181.336, lauv-roald, DVL - Beam 1, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581181.336, lauv-roald, DVL - Beam 2, INVALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 0.000
1625581181.336, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 46.879
1625581181.336, lauv-roald, DVL Filtered, INVALID, %MESSAGE-LIST[], %MESSAGE-LIST[], -1.000
1625581181.753, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.460
1625581181.753, lauv-roald, DVL - Beam 1, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 50.412
1625581181.753, lauv-roald, DVL - Beam 2, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.641
1625581181.753, lauv-roald, DVL - Beam 3, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 48.254
1625581181.753, lauv-roald, DVL Filtered, VALID, %MESSAGE-LIST[], %MESSAGE-LIST[], 49.192
1625581181.954, lauv-roald, DVL - Beam 0, VALID, %MESSAGE-LIST[DeviceState], %MESSAGE-LIST[BeamConfig], 49.036
