timestamp, system, entity , value (°c)
1625581188.942, lauv-roald, Power Supply, 26.500
1625581188.943, lauv-roald, DVL, 16.758
1625581188.952, lauv-roald, Mainboard (Core), 48.562
1625581188.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581188.952, lauv-roald, Mainboard (Board), 40.187
1625581189.030, lauv-roald, Power Supply, 26.500
1625581189.040, lauv-roald, Power Supply, 26.500
1625581189.048, lauv-roald, SmartX, 16.604
1625581189.142, lauv-roald, Power Supply, 26.000
1625581189.146, lauv-roald, DVL, 16.755
1625581189.349, lauv-roald, DVL, 16.761
1625581189.548, lauv-roald, SmartX, 16.593
1625581189.612, lauv-roald, Motor Controller (MCU), 29.000
1625581189.612, lauv-roald, Motor Controller (Bridge), 34.000
1625581189.612, lauv-roald, Motor, 37.000
1625581189.641, lauv-roald, Power Supply, 26.500
1625581189.730, lauv-roald, Oxygen Sensor, 16.632
1625581189.752, lauv-roald, DVL, 16.766
1625581189.841, lauv-roald, Power Supply, 26.500
1625581189.951, lauv-roald, DVL, 16.765
1625581189.952, lauv-roald, Mainboard (Core), 48.562
1625581189.952, lauv-roald, Mainboard (SuperIO), 42.687
1625581189.952, lauv-roald, Mainboard (Board), 40.187
1625581190.043, lauv-roald, Power Supply, 26.500
1625581190.048, lauv-roald, SmartX, 16.597
1625581190.074, lauv-roald, Power Supply, 26.500
1625581190.079, lauv-roald, Power Supply, 26.500
1625581190.140, lauv-roald, DVL, 16.761
1625581190.243, lauv-roald, Power Supply, 26.500
1625581190.442, lauv-roald, Power Supply, 26.500
1625581190.533, lauv-roald, DVL, 16.767
1625581190.548, lauv-roald, SmartX, 16.647
1625581190.730, lauv-roald, Oxygen Sensor, 16.613
1625581190.733, lauv-roald, DVL, 16.767
1625581190.934, lauv-roald, DVL, 16.762
1625581190.943, lauv-roald, Power Supply, 26.500
1625581190.952, lauv-roald, Mainboard (Core), 48.937
1625581190.952, lauv-roald, Mainboard (SuperIO), 42.437
1625581190.952, lauv-roald, Mainboard (Board), 40.187
1625581191.048, lauv-roald, SmartX, 16.630
1625581191.108, lauv-roald, Power Supply, 26.000
1625581191.116, lauv-roald, Power Supply, 26.000
1625581191.146, lauv-roald, Power Supply, 26.500
1625581191.332, lauv-roald, DVL, 16.762
1625581191.343, lauv-roald, Power Supply, 26.500
1625581191.534, lauv-roald, DVL, 16.764
1625581191.543, lauv-roald, Power Supply, 26.500
1625581191.548, lauv-roald, SmartX, 16.628
1625581191.612, lauv-roald, Motor Controller (MCU), 29.000
1625581191.612, lauv-roald, Motor Controller (Bridge), 34.000
1625581191.612, lauv-roald, Motor, 38.000
1625581191.730, lauv-roald, Oxygen Sensor, 16.637
1625581191.741, lauv-roald, DVL, 16.766
1625581191.743, lauv-roald, Power Supply, 26.500
1625581191.952, lauv-roald, Mainboard (Core), 48.937
1625581191.952, lauv-roald, Mainboard (SuperIO), 42.437
1625581191.952, lauv-roald, Mainboard (Board), 40.187
1625581192.048, lauv-roald, SmartX, 16.623
1625581192.146, lauv-roald, Power Supply, 26.500
1625581192.152, lauv-roald, DVL, 16.764
1625581192.155, lauv-roald, Power Supply, 26.500
1625581192.244, lauv-roald, Power Supply, 26.500
1625581192.353, lauv-roald, DVL, 16.771
1625581192.442, lauv-roald, Power Supply, 26.000
1625581192.548, lauv-roald, SmartX, 16.580
1625581192.555, lauv-roald, DVL, 16.772
1625581192.644, lauv-roald, Power Supply, 26.500
1625581192.730, lauv-roald, Oxygen Sensor, 16.637
1625581192.844, lauv-roald, Power Supply, 26.500
1625581192.952, lauv-roald, Mainboard (Core), 48.750
1625581192.952, lauv-roald, Mainboard (SuperIO), 42.437
1625581192.952, lauv-roald, Mainboard (Board), 40.250
1625581192.954, lauv-roald, DVL, 16.775
1625581193.044, lauv-roald, Power Supply, 26.500
1625581193.048, lauv-roald, SmartX, 16.617
1625581193.154, lauv-roald, DVL, 16.771
1625581193.177, lauv-roald, Power Supply, 26.500
1625581193.185, lauv-roald, Power Supply, 26.500
1625581193.352, lauv-roald, DVL, 16.773
1625581193.544, lauv-roald, Power Supply, 26.500
1625581193.548, lauv-roald, SmartX, 16.600
1625581193.712, lauv-roald, Motor Controller (MCU), 29.000
1625581193.712, lauv-roald, Motor Controller (Bridge), 34.000
1625581193.712, lauv-roald, Motor, 37.000
1625581193.730, lauv-roald, Oxygen Sensor, 16.619
1625581193.743, lauv-roald, Power Supply, 26.000
1625581193.752, lauv-roald, DVL, 16.767
1625581193.945, lauv-roald, Power Supply, 26.500
1625581193.951, lauv-roald, DVL, 16.765
1625581193.952, lauv-roald, Mainboard (Core), 48.750
1625581193.952, lauv-roald, Mainboard (SuperIO), 42.437
1625581193.952, lauv-roald, Mainboard (Board), 40.250
1625581194.048, lauv-roald, SmartX, 16.591
1625581194.144, lauv-roald, Power Supply, 26.500
1625581194.150, lauv-roald, DVL, 16.764
1625581194.209, lauv-roald, Power Supply, 26.500
1625581194.217, lauv-roald, Power Supply, 26.500
