timestamp, system, entity , value (m)
1625581209.953, lauv-roald, DVL, 1.014
1625581210.047, lauv-roald, SmartX, 1.313
1625581210.149, lauv-roald, DVL, 1.022
1625581210.547, lauv-roald, SmartX, 1.333
1625581210.554, lauv-roald, DVL, 1.021
1625581210.749, lauv-roald, DVL, 1.027
1625581210.955, lauv-roald, DVL, 1.033
1625581211.047, lauv-roald, SmartX, 1.313
1625581211.351, lauv-roald, DVL, 1.024
1625581211.547, lauv-roald, SmartX, 1.313
1625581211.553, lauv-roald, DVL, 1.018
1625581211.755, lauv-roald, DVL, 1.003
1625581212.047, lauv-roald, SmartX, 1.273
1625581212.154, lauv-roald, DVL, 1.008
1625581212.354, lauv-roald, DVL, 0.999
1625581212.547, lauv-roald, SmartX, 1.273
1625581212.555, lauv-roald, DVL, 0.984
1625581212.954, lauv-roald, DVL, 0.966
1625581213.047, lauv-roald, SmartX, 1.293
1625581213.153, lauv-roald, DVL, 0.981
1625581213.362, lauv-roald, DVL, 0.987
1625581213.547, lauv-roald, SmartX, 1.303
1625581213.753, lauv-roald, DVL, 0.978
1625581213.953, lauv-roald, DVL, 0.987
1625581214.047, lauv-roald, SmartX, 1.293
1625581214.153, lauv-roald, DVL, 0.975
1625581214.547, lauv-roald, SmartX, 1.293
1625581214.555, lauv-roald, DVL, 0.982
1625581214.753, lauv-roald, DVL, 0.983
1625581214.953, lauv-roald, DVL, 0.992
1625581215.047, lauv-roald, SmartX, 1.323
1625581215.354, lauv-roald, DVL, 1.004
1625581215.547, lauv-roald, SmartX, 1.323
1625581215.557, lauv-roald, DVL, 0.993
1625581215.754, lauv-roald, DVL, 0.997
1625581216.047, lauv-roald, SmartX, 1.303
1625581216.152, lauv-roald, DVL, 1.000
1625581216.353, lauv-roald, DVL, 1.003
1625581216.547, lauv-roald, SmartX, 1.293
1625581216.555, lauv-roald, DVL, 0.999
1625581216.953, lauv-roald, DVL, 1.009
1625581217.047, lauv-roald, SmartX, 1.283
1625581217.153, lauv-roald, DVL, 1.000
1625581217.354, lauv-roald, DVL, 0.985
1625581217.547, lauv-roald, SmartX, 1.244
1625581217.756, lauv-roald, DVL, 0.953
1625581217.951, lauv-roald, DVL, 0.957
1625581218.046, lauv-roald, SmartX, 1.244
1625581218.154, lauv-roald, DVL, 0.950
1625581218.546, lauv-roald, SmartX, 1.244
1625581218.553, lauv-roald, DVL, 0.971
1625581218.753, lauv-roald, DVL, 0.973
1625581218.951, lauv-roald, DVL, 0.968
1625581219.047, lauv-roald, SmartX, 1.263
1625581219.350, lauv-roald, DVL, 0.957
1625581219.546, lauv-roald, SmartX, 1.273
1625581219.552, lauv-roald, DVL, 0.975
1625581219.753, lauv-roald, DVL, 0.990
1625581220.046, lauv-roald, SmartX, 1.313
1625581220.153, lauv-roald, DVL, 0.996
1625581220.354, lauv-roald, DVL, 0.984
1625581220.546, lauv-roald, SmartX, 1.293
1625581220.554, lauv-roald, DVL, 0.996
1625581220.949, lauv-roald, DVL, 1.004
1625581221.046, lauv-roald, SmartX, 1.273
1625581221.152, lauv-roald, DVL, 0.995
1625581221.348, lauv-roald, DVL, 0.986
1625581221.546, lauv-roald, SmartX, 1.273
1625581221.754, lauv-roald, DVL, 0.978
1625581221.955, lauv-roald, DVL, 0.978
1625581222.046, lauv-roald, SmartX, 1.224
1625581222.151, lauv-roald, DVL, 0.957
1625581222.546, lauv-roald, SmartX, 1.214
1625581222.554, lauv-roald, DVL, 0.951
1625581222.754, lauv-roald, DVL, 0.944
1625581222.949, lauv-roald, DVL, 0.942
1625581223.046, lauv-roald, SmartX, 1.244
1625581223.354, lauv-roald, DVL, 0.956
1625581223.546, lauv-roald, SmartX, 1.234
1625581223.551, lauv-roald, DVL, 0.960
1625581223.755, lauv-roald, DVL, 0.964
1625581224.046, lauv-roald, SmartX, 1.234
1625581224.153, lauv-roald, DVL, 0.969
1625581224.353, lauv-roald, DVL, 0.974
1625581224.546, lauv-roald, SmartX, 1.273
1625581224.555, lauv-roald, DVL, 0.975
1625581224.955, lauv-roald, DVL, 0.992
1625581225.046, lauv-roald, SmartX, 1.293
1625581225.154, lauv-roald, DVL, 0.999
1625581225.354, lauv-roald, DVL, 0.992
1625581225.546, lauv-roald, SmartX, 1.263
1625581225.753, lauv-roald, DVL, 0.995
1625581225.954, lauv-roald, DVL, 0.989
1625581226.046, lauv-roald, SmartX, 1.263
1625581226.154, lauv-roald, DVL, 0.996
1625581226.546, lauv-roald, SmartX, 1.234
1625581226.549, lauv-roald, DVL, 0.975
1625581226.751, lauv-roald, DVL, 0.973
1625581226.953, lauv-roald, DVL, 0.962
1625581227.046, lauv-roald, SmartX, 1.244
1625581227.356, lauv-roald, DVL, 0.960
1625581227.546, lauv-roald, SmartX, 1.224
1625581227.552, lauv-roald, DVL, 0.958
1625581227.751, lauv-roald, DVL, 0.955
1625581228.046, lauv-roald, SmartX, 1.234
1625581228.151, lauv-roald, DVL, 0.953
1625581228.353, lauv-roald, DVL, 0.959
1625581228.546, lauv-roald, SmartX, 1.273
1625581228.557, lauv-roald, DVL, 0.968
1625581228.953, lauv-roald, DVL, 0.965
1625581229.046, lauv-roald, SmartX, 1.254
1625581229.152, lauv-roald, DVL, 0.977
1625581229.353, lauv-roald, DVL, 0.969
1625581229.545, lauv-roald, SmartX, 1.254
1625581229.752, lauv-roald, DVL, 0.981
1625581229.951, lauv-roald, DVL, 0.989
1625581230.045, lauv-roald, SmartX, 1.263
1625581230.150, lauv-roald, DVL, 0.990
1625581230.546, lauv-roald, SmartX, 1.254
1625581230.551, lauv-roald, DVL, 0.986
1625581230.752, lauv-roald, DVL, 0.990
1625581230.955, lauv-roald, DVL, 0.983
1625581231.045, lauv-roald, SmartX, 1.254
1625581231.352, lauv-roald, DVL, 0.970
1625581231.546, lauv-roald, SmartX, 1.244
1625581231.554, lauv-roald, DVL, 0.968
1625581231.752, lauv-roald, DVL, 0.965
1625581232.046, lauv-roald, SmartX, 1.254
1625581232.150, lauv-roald, DVL, 0.963
1625581232.352, lauv-roald, DVL, 0.961
1625581232.545, lauv-roald, SmartX, 1.224
1625581232.553, lauv-roald, DVL, 0.953
1625581232.953, lauv-roald, DVL, 0.952
1625581233.045, lauv-roald, SmartX, 1.224
1625581233.154, lauv-roald, DVL, 0.935
1625581233.355, lauv-roald, DVL, 0.948
1625581233.545, lauv-roald, SmartX, 1.234
1625581233.749, lauv-roald, DVL, 0.952
1625581233.949, lauv-roald, DVL, 0.957
1625581234.045, lauv-roald, SmartX, 1.263
1625581234.152, lauv-roald, DVL, 0.976
1625581234.545, lauv-roald, SmartX, 1.273
1625581234.550, lauv-roald, DVL, 0.975
1625581234.754, lauv-roald, DVL, 0.986
1625581234.953, lauv-roald, DVL, 0.985
1625581235.045, lauv-roald, SmartX, 1.263
1625581235.354, lauv-roald, DVL, 0.983
1625581235.545, lauv-roald, SmartX, 1.254
1625581235.551, lauv-roald, DVL, 0.980
1625581235.752, lauv-roald, DVL, 0.979
1625581236.045, lauv-roald, SmartX, 1.244
1625581236.148, lauv-roald, DVL, 0.965
1625581236.350, lauv-roald, DVL, 0.960
1625581236.545, lauv-roald, SmartX, 1.224
1625581236.556, lauv-roald, DVL, 0.957
1625581236.948, lauv-roald, DVL, 0.948
1625581237.045, lauv-roald, SmartX, 1.224
1625581237.150, lauv-roald, DVL, 0.955
1625581237.341, lauv-roald, DVL, 0.948
1625581237.545, lauv-roald, SmartX, 1.224
1625581237.750, lauv-roald, DVL, 0.955
1625581237.951, lauv-roald, DVL, 0.951
1625581238.045, lauv-roald, SmartX, 1.244
1625581238.157, lauv-roald, DVL, 0.950
1625581238.545, lauv-roald, SmartX, 1.224
1625581238.552, lauv-roald, DVL, 0.969
1625581238.752, lauv-roald, DVL, 0.966
1625581238.951, lauv-roald, DVL, 0.972
1625581239.045, lauv-roald, SmartX, 1.254
1625581239.354, lauv-roald, DVL, 0.975
1625581239.545, lauv-roald, SmartX, 1.254
1625581239.553, lauv-roald, DVL, 0.961
1625581239.754, lauv-roald, DVL, 0.970
1625581240.045, lauv-roald, SmartX, 1.224
1625581240.154, lauv-roald, DVL, 0.960
1625581240.353, lauv-roald, DVL, 0.961
1625581240.545, lauv-roald, SmartX, 1.224
1625581240.554, lauv-roald, DVL, 0.950
1625581240.956, lauv-roald, DVL, 0.954
1625581241.045, lauv-roald, SmartX, 1.214
1625581241.154, lauv-roald, DVL, 0.948
1625581241.355, lauv-roald, DVL, 0.960
1625581241.545, lauv-roald, SmartX, 1.214
1625581241.754, lauv-roald, DVL, 0.947
1625581241.954, lauv-roald, DVL, 0.958
1625581242.045, lauv-roald, SmartX, 1.224
1625581242.155, lauv-roald, DVL, 0.956
1625581242.545, lauv-roald, SmartX, 1.214
1625581242.561, lauv-roald, DVL, 0.963
1625581242.755, lauv-roald, DVL, 0.960
1625581242.950, lauv-roald, DVL, 0.957
1625581243.045, lauv-roald, SmartX, 1.224
1625581243.355, lauv-roald, DVL, 0.966
1625581243.545, lauv-roald, SmartX, 1.224
1625581243.554, lauv-roald, DVL, 0.955
1625581243.751, lauv-roald, DVL, 0.957
1625581244.045, lauv-roald, SmartX, 1.224
1625581244.155, lauv-roald, DVL, 0.946
1625581244.347, lauv-roald, DVL, 0.957
1625581244.545, lauv-roald, SmartX, 1.224
1625581244.554, lauv-roald, DVL, 0.960
1625581244.953, lauv-roald, DVL, 0.952
1625581245.045, lauv-roald, SmartX, 1.214
1625581245.153, lauv-roald, DVL, 0.954
1625581245.352, lauv-roald, DVL, 0.950
1625581245.545, lauv-roald, SmartX, 1.214
1625581245.749, lauv-roald, DVL, 0.948
1625581245.950, lauv-roald, DVL, 0.942
1625581246.044, lauv-roald, SmartX, 1.194
1625581246.156, lauv-roald, DVL, 0.938
1625581246.545, lauv-roald, SmartX, 1.204
1625581246.552, lauv-roald, DVL, 0.935
1625581246.747, lauv-roald, DVL, 0.940
1625581246.953, lauv-roald, DVL, 0.934
1625581247.045, lauv-roald, SmartX, 1.204
1625581247.349, lauv-roald, DVL, 0.948
1625581247.544, lauv-roald, SmartX, 1.224
1625581247.547, lauv-roald, DVL, 0.943
1625581247.751, lauv-roald, DVL, 0.946
1625581248.044, lauv-roald, SmartX, 1.244
1625581248.149, lauv-roald, DVL, 0.956
1625581248.352, lauv-roald, DVL, 0.950
1625581248.544, lauv-roald, SmartX, 1.224
1625581248.548, lauv-roald, DVL, 0.957
1625581248.951, lauv-roald, DVL, 0.957
1625581249.044, lauv-roald, SmartX, 1.234
1625581249.153, lauv-roald, DVL, 0.951
1625581249.352, lauv-roald, DVL, 0.954
1625581249.544, lauv-roald, SmartX, 1.234
1625581249.751, lauv-roald, DVL, 0.955
1625581249.953, lauv-roald, DVL, 0.954
1625581250.044, lauv-roald, SmartX, 1.214
1625581250.150, lauv-roald, DVL, 0.945
1625581250.544, lauv-roald, SmartX, 1.224
1625581250.551, lauv-roald, DVL, 0.946
1625581250.749, lauv-roald, DVL, 0.948
1625581250.953, lauv-roald, DVL, 0.947
1625581251.044, lauv-roald, SmartX, 1.214
1625581251.352, lauv-roald, DVL, 0.953
1625581251.544, lauv-roald, SmartX, 1.244
1625581251.553, lauv-roald, DVL, 0.968
1625581251.749, lauv-roald, DVL, 0.961
1625581252.044, lauv-roald, SmartX, 1.234
1625581252.156, lauv-roald, DVL, 0.958
1625581252.346, lauv-roald, DVL, 0.963
1625581252.544, lauv-roald, SmartX, 1.234
1625581252.553, lauv-roald, DVL, 0.957
1625581252.951, lauv-roald, DVL, 0.964
1625581253.044, lauv-roald, SmartX, 1.244
1625581253.153, lauv-roald, DVL, 0.966
1625581253.354, lauv-roald, DVL, 0.961
1625581253.544, lauv-roald, SmartX, 1.224
1625581253.752, lauv-roald, DVL, 0.964
1625581253.954, lauv-roald, DVL, 0.961
1625581254.044, lauv-roald, SmartX, 1.224
1625581254.149, lauv-roald, DVL, 0.950
1625581254.544, lauv-roald, SmartX, 1.244
1625581254.551, lauv-roald, DVL, 0.957
1625581254.754, lauv-roald, DVL, 0.960
1625581254.950, lauv-roald, DVL, 0.956
