lat,lon,depth,ep_prior,ep_posterior
63.451078991946915,10.40325109079317,1.0,,0.5593837035814845
63.4511243614246,10.403075250649843,1.0,,0.559671344146246
63.45116973090228,10.40289940994916,1.0,,0.5598666082655293
63.45121510037997,10.402723568691115,1.0,,0.5594982438227729
63.45126046985765,10.402547726875707,1.0,,0.5597109252751656
63.45130583933533,10.40237188450293,1.0,,0.5599236067275585
63.451351208813016,10.402196041572784,1.0,,0.5601362881799513
63.4513965782907,10.402020198085264,1.0,,0.5601362881799513
63.446983582240456,10.4195274918744,1.0,,0.999999999811093
63.44702895171814,10.419351702673652,1.0,0.9948041764555476,0.999999999811093
63.44707432119582,10.419175912915817,1.0,0.994319230263111,0.9999999998715433
63.44711969067351,10.419000122600892,1.0,0.9938342840706742,0.9999999999319935
